method,split,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
sequence_contrastive_credit,intervention_delay_shift,480,0.62431,0.01749,0.42778,0.01893,0.36840,0.01707,0.08403,0.01073,0.29375,0.01692,0.06076,0.00838,0.15069,0.01432,0.30451,0.01694,0.73408,0.00592,0.05467,0.00111,0.29828,0.00192,0.16550,0.02327
sequence_contrastive_credit,nominal,480,0.64444,0.01728,0.50556,0.01781,0.44028,0.01756,0.04444,0.00740,0.21667,0.01512,0.03194,0.00626,0.10417,0.01129,0.39896,0.01782,0.62231,0.00365,0.01044,0.00066,0.24839,0.00186,0.31898,0.02130
temporal_difference_world_model,combined_extreme,480,0.67847,0.01668,0.39757,0.01848,0.42986,0.01733,0.10590,0.01163,0.26944,0.01629,0.06215,0.00889,0.13090,0.01182,0.36979,0.01726,0.69298,0.00689,0.07251,0.00149,0.25762,0.00173,0.23127,0.02164
temporal_difference_world_model,compensatory_mask_shift,480,0.70590,0.01667,0.42396,0.01760,0.44826,0.01809,0.08125,0.01019,0.25104,0.01624,0.04583,0.00739,0.11840,0.01212,0.39062,0.01795,0.64805,0.00609,0.05474,0.00141,0.24491,0.00162,0.31257,0.02118
temporal_difference_world_model,confounded_credit_shift,480,0.68542,0.01731,0.45764,0.01935,0.48681,0.01809,0.07743,0.01036,0.23993,0.01533,0.03576,0.00684,0.12569,0.01262,0.40868,0.01796,0.61179,0.00537,0.04809,0.00142,0.23849,0.00160,0.31148,0.02114
temporal_difference_world_model,delayed_outcome_shift,480,0.67882,0.01689,0.48646,0.01792,0.50521,0.01813,0.04653,0.00754,0.21979,0.01601,0.02674,0.00556,0.10833,0.01126,0.42396,0.01770,0.62241,0.00551,0.02401,0.00092,0.22050,0.00141,0.34909,0.02038
temporal_difference_world_model,false_credit_shift,480,0.69132,0.01584,0.42188,0.01825,0.48472,0.01779,0.09688,0.01117,0.25347,0.01657,0.04514,0.00761,0.13299,0.01236,0.39201,0.01739,0.64496,0.00595,0.05710,0.00147,0.24639,0.00168,0.28150,0.02195
temporal_difference_world_model,hidden_precondition_shift,480,0.68160,0.01717,0.44201,0.01767,0.47153,0.01763,0.07500,0.00975,0.25104,0.01641,0.03715,0.00685,0.11910,0.01207,0.40937,0.01809,0.64516,0.00601,0.04499,0.00122,0.23749,0.00147,0.30163,0.02242
temporal_difference_world_model,intervention_delay_shift,480,0.68785,0.01679,0.46493,0.01818,0.50174,0.01816,0.06285,0.00880,0.22708,0.01584,0.03507,0.00701,0.11389,0.01191,0.36979,0.01771,0.62480,0.00592,0.03398,0.00110,0.22898,0.00142,0.33343,0.02166
temporal_difference_world_model,nominal,480,0.71979,0.01604,0.55243,0.01773,0.58924,0.01799,0.02743,0.00617,0.18056,0.01397,0.01806,0.00483,0.07986,0.01019,0.46042,0.01847,0.51411,0.00362,0.00211,0.00003,0.19291,0.00144,0.46199,0.01996
transformer_attention_attribution,combined_extreme,480,0.53507,0.01823,0.30174,0.01718,0.22569,0.01498,0.18924,0.01465,0.36806,0.01817,0.10556,0.01114,0.21354,0.01570,0.22500,0.01552,0.86614,0.00690,0.11504,0.00149,0.39525,0.00252,-0.11814,0.02704
transformer_attention_attribution,compensatory_mask_shift,480,0.54861,0.01752,0.33160,0.01687,0.25208,0.01641,0.14653,0.01287,0.35104,0.01771,0.08924,0.00995,0.21458,0.01505,0.26076,0.01583,0.82033,0.00608,0.09718,0.00140,0.37299,0.00253,-0.05089,0.02459
transformer_attention_attribution,confounded_credit_shift,480,0.56181,0.01818,0.34375,0.01795,0.27535,0.01648,0.15000,0.01337,0.33125,0.01742,0.08160,0.00982,0.20208,0.01462,0.26736,0.01619,0.78355,0.00536,0.09060,0.00143,0.36116,0.00254,-0.00848,0.02432
transformer_attention_attribution,delayed_outcome_shift,480,0.58090,0.01763,0.38194,0.01760,0.28785,0.01588,0.08924,0.01023,0.32188,0.01844,0.07083,0.00912,0.17986,0.01323,0.30139,0.01661,0.79288,0.00550,0.06650,0.00093,0.33559,0.00237,0.06977,0.02361
transformer_attention_attribution,false_credit_shift,480,0.54826,0.01783,0.32396,0.01771,0.25347,0.01615,0.16597,0.01442,0.34653,0.01854,0.08437,0.01006,0.19514,0.01486,0.25972,0.01669,0.81781,0.00602,0.09964,0.00146,0.37515,0.00252,-0.04106,0.02593
transformer_attention_attribution,hidden_precondition_shift,480,0.57049,0.01714,0.32326,0.01676,0.25312,0.01660,0.12569,0.01221,0.35035,0.01721,0.08854,0.01068,0.19167,0.01408,0.27292,0.01558,0.81675,0.00604,0.08754,0.00121,0.36067,0.00247,-0.00240,0.02482
transformer_attention_attribution,intervention_delay_shift,480,0.58472,0.01774,0.35938,0.01611,0.28958,0.01593,0.11736,0.01140,0.31701,0.01675,0.08819,0.00991,0.18299,0.01407,0.24167,0.01578,0.79564,0.00594,0.07649,0.00111,0.34795,0.00239,0.03986,0.02437
transformer_attention_attribution,nominal,480,0.61146,0.01839,0.44028,0.01898,0.37083,0.01768,0.08576,0.01033,0.26701,0.01564,0.05278,0.00800,0.14826,0.01302,0.34306,0.01803,0.68394,0.00366,0.03118,0.00077,0.28795,0.00213,0.18474,0.02376
uniform_credit_assignment,combined_extreme,480,0.39340,0.01722,0.11701,0.01189,0.05521,0.00772,0.25035,0.01615,0.50278,0.01843,0.15729,0.01327,0.30625,0.01768,0.10556,0.01191,1.01239,0.00696,0.16770,0.00149,0.56366,0.00400,-0.48022,0.02933
uniform_credit_assignment,compensatory_mask_shift,480,0.40417,0.01902,0.12812,0.01288,0.08750,0.01001,0.22569,0.01495,0.47257,0.01944,0.12951,0.01221,0.29792,0.01724,0.12083,0.01218,0.96593,0.00615,0.14992,0.00140,0.53128,0.00398,-0.40036,0.02841
uniform_credit_assignment,confounded_credit_shift,480,0.40035,0.01755,0.15278,0.01347,0.11875,0.01242,0.22118,0.01547,0.46493,0.01779,0.12569,0.01236,0.27917,0.01643,0.14028,0.01172,0.92883,0.00541,0.14321,0.00144,0.51518,0.00397,-0.37651,0.02720
uniform_credit_assignment,delayed_outcome_shift,480,0.43403,0.01844,0.20104,0.01459,0.12986,0.01290,0.17118,0.01367,0.44375,0.01786,0.10243,0.01135,0.25035,0.01577,0.17604,0.01415,0.93693,0.00551,0.11922,0.00093,0.47527,0.00349,-0.26585,0.02720
uniform_credit_assignment,false_credit_shift,480,0.39687,0.01909,0.14792,0.01389,0.09792,0.01016,0.26806,0.01551,0.48125,0.01895,0.12500,0.01180,0.29792,0.01661,0.13750,0.01183,0.96369,0.00602,0.15226,0.00146,0.53508,0.00391,-0.42650,0.02823
uniform_credit_assignment,hidden_precondition_shift,480,0.39549,0.01740,0.14653,0.01273,0.10938,0.01132,0.20243,0.01459,0.48056,0.01855,0.12674,0.01210,0.26667,0.01687,0.14062,0.01240,0.96184,0.00611,0.14004,0.00121,0.51339,0.00381,-0.37735,0.02681
uniform_credit_assignment,intervention_delay_shift,480,0.43924,0.01809,0.18507,0.01401,0.12187,0.01246,0.17188,0.01400,0.45174,0.01756,0.13542,0.01305,0.25903,0.01536,0.12049,0.01168,0.94013,0.00598,0.12906,0.00110,0.49405,0.00364,-0.30729,0.02776
uniform_credit_assignment,nominal,480,0.50972,0.01787,0.24410,0.01582,0.20694,0.01538,0.12118,0.01179,0.39444,0.01674,0.08472,0.01042,0.20694,0.01477,0.20104,0.01509,0.82712,0.00365,0.08380,0.00077,0.40911,0.00299,-0.07865,0.02496
